|Название|О товаре|Производитель|Торговая марка|Страна|Вес|Объем|Состав|Вид|Энергетическая ценность|Белки|Жиры|Углеводы|Срок годности|Стоимость|IMG URL|URL
10|Филе сельди Русское море Селедочка к картошке Традиционный посол 400г||Русское море||Беларусь|0.4 кг||Филе сельди, масло растительное, соль, регуляторы кислотности: винная, лимонная кислоты; усилитель вкуса и аромата глутамат натрия 1-замещенный, консерванты: бензоат натрия, сорбат калия||160.0|13.3 г|11.8 г||120 дней|199₽/шт|https://media.vprok.ru/products/x700/fe/g2/btrim3ao6qf5oohr7le2bo24hnw7g2fe.jpeg|https://www.vprok.ru/product/russkoe-more-r-m-file-sel-sel-k-kar-tr-p400g--861992
11|Молоко Экомилк Отборное 3.4-4.5% 900мл|||Экомилк|Россия||0.9 л|Молоко цельное|Коровье|70.0|3 г|4.5 г|4.7 г|21 день|95,9₽/шт|https://media.vprok.ru/products/x700/57/u5/crqwjrigqbkzzulmlaqitkpnjtb4u557.jpeg|https://www.vprok.ru/product/ekomilk-bzmj-ekom-moloko-3-4-4-5-900ml--857218
12|Семечки От Мартина тыквенные 100г||Мартин|От Мартина|Россия|0.1 кг||Семена тыквы неочищенные жареные, пищевая соль||540.0|28.04 г|12.86 г|45.76 г|350 дней|109,99₽/шт|https://media.vprok.ru/products/x700/6t/2z/qjffq455orkeeodp5we2fp5vjtae2z6t.jpeg|https://www.vprok.ru/product/ot-martina-ot-martina-semechki-tykvy-objar-sol-100g--315548
13|Палтус Borealis Синекорый стейки замороженные 400г|Палтус Borealis стейк свежемороженый 400г – порционные кусочки дикого палтуса, выловленного в Северо-Восточной Атлантике. Уникальная технология однократной заморозки позволяет сохранить природные полезные свойства свежей рыбы. Производитель не использует химические добавки, применяемые для увеличения веса или улучшения вкуса. Важное достоинство продукта – отсутствие ледяной глазури. Стейки отлично подходят для жарки, запекания в духовом шкафу или приготовления на пару. Они непременно порадуют вас приятным вкусом и обогатят ваш организм целым комплексом витаминов, минералов и прочих ценных веществ. Рекомендуется разморозить перед приготовлением. Инновационная skin-упаковка естественным образом облегает продукт, обеспечивая надежную фиксацию и защиту от повреждений в процессе транспортировки.|РК Полярное море|Borealis|Россия|0.4 кг||Палтус синекорый однократной заморозки||177.0|15 г|13 г||270 дней|599₽/шт|https://media.vprok.ru/products/x700/65/7u/ll5jhnrbomvi2z3xbpiihmpt4xjv7u65.jpeg|https://www.vprok.ru/product/borealis-bor-paltus-sinek-steyk-zam-400g--475272
14|Печенье Мilka Choco Pause с начинкой с молочным шоколадом 260г||Mondelez|Milka|Испания|0.26 кг||Мука пшеничная, сахар, масло пальмовое, шоколад молочный (сахар, масло какао, молоко сухое обезжиренное, какао тертое, сыворотка сухая молочная, жир молочный, эмульгатор (лецитин соевый), ароматизатор), какао-порошок, сыворотка сухая молочная, сироп глюкозный, соль, молоко сухое цельное, разрыхлители (гидрокарбонат аммония, гидрокарбонат натрия), ароматизатор (содержит молоко), эмульгаторы (лецитин соевый, лецитин подсолнечный). Может содержать следы яиц. Содержание какао-продуктов в молочной шоколадной массе - не менее 25 %||507.0|5.7 г|24 г|65 г|273 дня|297₽/шт|https://media.vprok.ru/products/x700/3a/7j/isuz6cej25onhtvu3ryt67aqdgqq7j3a.jpeg|https://www.vprok.ru/product/milka-milka-pech-ch-p-nach-s-mol-sh-260g--853253
15|Котлеты Hi Растительные 200г|Котлеты растительные HI Домашние200г – замороженные полуфабрикаты, которые отлично впишутся в рацион веганов, вегетарианцев и всех, кто по каким-либо причинам вынужден отказаться от мяса. Изготовлены на основе растительных ингредиентов с добавлением душистых специй и важных для здоровья витамнов. По вкусу эти котлеты ничуть не уступают мясным, а по содержанию аминокислот полностью соответствуют рекомендациям ВОЗ. Готовить их можно на сковороде, на гриле иди в духовке – в любом случае они получатся сочными и очень аппетитными. В упаковке 2 штуки. Миссия основателей бренда HI – создание инновационных продуктов питания, которые улучшают здоровье каждого человека и здоровье всей планеты в целом.|Эфко|Hi|Россия|0.2 кг||вода, текстурированный растительный белок (соевый, гороховый, рисовый), рафинированные дезодорированные растительные масла (рапсовое, кокосовое, подсолнечное), лук репчатый сушеный, цитрусовые пищевые волокна, соль пищевая, ароматизаторы натуральные, чеснок молотый, перец черный молотый, зелень петрушки, краситель - карамельный колер, витамин D3, витамин В12.||187.0|14.4 г|12 г|4.7 г|180 дней|249,9₽/шт|https://media.vprok.ru/products/x700/pr/ia/66z2dbknw7gjcrp37wzydff3qgwpiapr.jpeg|https://www.vprok.ru/product/hi-kotlety-rast-zam-200g--1046249
16|Хлеб Иван Давыдов  бездрожжевой подовый со льном замороженный||Хлеб Иван Давыдовъ|Хлеб Иван Давыдов Дух Традиций|Россия|0.35 кг||Мука пшеничная высший сорт,вода очищенная,закваска пшеничная,семена льна,сахар,соль||239.0|7 г|3.4 г|45 г|180 дней|76,9₽/шт|https://media.vprok.ru/products/x700/te/no/gy2qyxk2yq73at3cd6h4pbqbuevgnote.jpeg|https://www.vprok.ru/product/hleb-ivan-davydov-duh-traditsiy-hleb-i-davydov-bd-pod-len350g--1235914
17|Сухарики Ого с маком 250г||Посольство Вкусной Еды|Ого|Россия|0.25 кг||Мука пшеничная общего назначения M 55-23, вода питьевая, сахар белый кристаллический свекловичный, маргарин (рафинированные дезодорированные растительные масла в натуальном и модифицированном виде, в том числе соевое, вода питьевая, эмульгатор моно- и диглицериды жирных кислот, соль поваренная пищевая, регулятор кислотности лимонная кислота, ароматизатор, краситель бета-каротин), мак пищевой, дрожжи хлебопекарные прессованные, соль поваренная пищевая, яичный порошок||460.0|11 г|13 г|76 г|120 дней|106₽/шт|https://media.vprok.ru/products/x700/tb/xj/eubxbhc26lyzxa2azgjqoy5xjsdsxjtb.jpeg|https://www.vprok.ru/product/ogo-ogo-suhariki-s-makom-250g--352420
18|Сосиски Мираторг Баварские 350г||СК Короча|Мираторг|Россия|0.35 кг||Свинина, вода, фарш куриный, шпик, жир-сырец говяжий, посолочно-нитритная смесь (соль, фиксатор окраски (нитрит натрия)), белок молочный, загустители (каррагинан из водорослей EUCHEMA, гуаровая камедь, ксантановая камедь), стабилизатор (полифосфат натрия), пряности (перец черный), чеснок, ароматизаторы, декстроза, усилитель вкуса и аромата (глутамат натрия 1-замещенный), антиокислитель (аскорбиновая кислота, L-), краситель (кармины)||283.0|10 г|27 г||30 дней|259₽/шт|https://media.vprok.ru/products/x700/vi/fm/ibm5ikbqhntslpkl3udpz5nxvrssfmvi.jpeg|https://www.vprok.ru/product/miratorg-miratorg-sosis-bavarsk-var-350g--1027494
19|Гранола Food to be Good Медовая Малина и семена льна 300г||Гранолайф|Food to be Good|Россия|0.3 кг||Хлопья запеченные овсяные, мёд натуральный, чипсы банановые, семена льна, малина сублимированная, масло подсолнечное||310.0|8 г|9.5 г|48 г|365 дней|139₽/шт|https://media.vprok.ru/products/x700/bi/wb/kvoeirwu2n7hgpkqmdaog7l6tuzqwbbi.jpeg|https://www.vprok.ru/product/food-to-be-good-foodtob-granola-mal-sem-ln300g--969501
20|Сибас потрошеный  тушка с кожей из замороженного сырья||||Россия||||||||||779₽|https://media.vprok.ru/products/x700/3g/47/wbm7hjalsqzhlzyr4c5t5pg7dryk473g.jpeg|https://www.vprok.ru/product/spmi-sibas-tushka-s-kojey-psg-iz-zam-syrya-1kg--1264785
21|Свекла Белая Дача вареная 500г упаковка|Как быстро и без лишних хлопот приготовить винегрет, селедку под шубой или любой другой салат со свеклой? Правильно! Нужно купить вареную свеклу Белая Дача 500г! Это свежие и сочные клубни, промытые в ключевой воде, очищенные от кожуры и сваренные при помощи уникального экологичного оборудования, позволяющего максимально сохранить все полезные и питательные свойства свежего овоща. Вам больше не придется пачкать руки при чистке и терять время на термическую обработку. Просто измельчите клубни с помощью ножа или терки и используйте для своих кулинарных шедевров!|Белая Дача||Россия|0.5 кг||||23.0|1.8 г|9.8 г|0.1 г|21 день|149₽/шт|https://media.vprok.ru/products/x700/mn/un/4to5chcmf2cu7dezwf7ypx44fyybunmn.jpeg|https://www.vprok.ru/product/belaya-dacha-belaya-dacha-svekla-varenaya-500g--308266
22|Зефир Зеленая линия Белевский Яблоко 250г||Старые традиции|Зеленая линия|Россия|0.25 кг||Сахар-песок, пюре яблочное, патока, вода питьевая, желирующий агент-пектин яблочный, белок яичный (сухой), регуляторы кислотности (лактат натрия, кислота молочная), экстракт яблока, красители натуральные: экстракт сафлора, медные комплексы хлорофиллинов||330.0|1 г|0.1 г|80 г|90 дней|150₽/шт|https://media.vprok.ru/products/x700/5y/d2/duoubpfnvy7dn7xdtzouaooqiqhud25y.jpeg|https://www.vprok.ru/product/zelenaya-liniya-zel-lin-zef-bel-yab-kon-pas-250g--1021289
23|Кофе растворимый Жокей Триумф 150г|Кофе растворимый Жокей Триумф натуральный сублимированный 150г готовится из отборной Арабики, выращенной на кофейных плантациях в жарком тропическом климате. Оригинальный купаж и безупречно подобранная степень обжарки наполняют напиток ярким благородным ароматом и мягким вкусом. Для приготовления одной порции вам понадобится 1 чайная ложка кофе на 150-200 мл горячей воды (гранулы растворяются при 90 градусах). Упаковка со специальной застежкой zip позволяет сохранить все органолептические свойства продукта, ее можно многократно открывать и закрывать.|ОРИМИ|Жокей|Россия|0.15 кг||Кофе растворимый||||||730 дней|409₽/шт|https://media.vprok.ru/products/x700/2m/s4/gwhbdhbvqrztwbijjl5lpybvf5hks42m.jpeg|https://www.vprok.ru/product/jokey-jokey-kofe-triumf-subl-mu-150g--314269
24|Хлебцы Take a Bite Кукурузно-рисовые с морской солью 150г|Хлебцы Take a Bite Кукурузно-рисовые с морской солью 150г – идеальная основа для вкусного и полезного перекуса. Это 100% натуральные безглютеновые хлебцы, изготовленные из кукурузной и рисовой крупы с добавлением морской соли и кукурузных отрубей. Легко усваиваются, прекрасно утоляют голод, обогащают организм клетчаткой, витаминами и минералами. В составе нет сахара, дрожжей, продуктов животного происхождения. Легкие хрустящие хлебцы хорошо сочетаются с урбечем, хумусом, ореховой пастой. Их можно взять с собой на пикник, на работу, на учебу, в дорогу. Отлично впишутся в рацион вегетарианцев, веганов, людей с аллергией на глютен и всех, кто предпочитает правильное питание.|БиоФудЛаб|Take a Bite|Россия|0.15 кг||Крупа кукурузная, крупа рисовая, отруби кукурузные, соль морская пищевая|Кукурузные, Рисовые|360.0|9 г|1.5 г|74 г|365 дней|198₽/шт|https://media.vprok.ru/products/x700/6i/6r/xil6d2jjtlloqm7cgexq3woo3nln6r6i.jpeg|https://www.vprok.ru/product/take-a-bite-t-a-bit-hl-hr-kukris-m-sol150g--696478
25|Икра лососевая Тунгутун зернистая 95г||Северо-Восточная Компания|Тунгутун|Россия|0.095 кг||ИКРА, СОЛЬ ПИЩЕВАЯ, МАСЛО РАСТИТЕЛЬНОЕ, КОНСЕРВАНТЫ: Е 200, Е 211, СТАБИЛИЗАТОР Е 412, АГЕНТ АНТИСЛЕЖИВАЮЩИЙ Е 536. ПРОИЗВЕДЕНА ИЗ МОРОЖЕНОГО СЫРЬЯ.||232.0|31 г|12 г|0 г|365 дней|532₽/шт|https://media.vprok.ru/products/x700/zl/ew/o7ulbhrw4slrueunciofbgitnidwewzl.jpeg|https://www.vprok.ru/product/tungutun-tung-ikra-los-for-sol-zer-95g--1086905
26|Манты Delis Frost с говядиной замороженные 900г|||||||||||||180 дней|735₽/шт|https://media.vprok.ru/products/x700/sp/my/ttz5v3hb5rflbk644n6igy4mtjnimysp.jpeg|https://www.vprok.ru/product/manty-s-govyadinoy-delis-frost-zamorojennye-900g--1218452
27|Сельдь Балтийский Берег По-царски филе-кусочки в масле с ароматом дыма 200г||Балтийский Берег||Россия|0.2 кг||Сельдь атлантическая, масло подсолнечное рафинированное дезодорированное, соль, консерванты: Е211, Е202, ароматизатор коптильный||400.0|11 г|40 г||122 дня|123₽/шт|https://media.vprok.ru/products/x700/jh/3e/vrs5fanfp2pezcqa2tmda3vxcdbu3ejh.jpeg|https://www.vprok.ru/product/baltiyskiy-bereg-b-b-sel-po-ts-file-kus-md-200g--341774
28|Чай холодный Lipton Арбуз-Mята 1.5л|Чай холодный Lipton Черный Арбуз-Mята 1.5л – это безалкогольный негазированный напиток, приготовленный на основе растительного сырья без добавления красителей и консервантов. Он поможет утолить жажду в любое время дня и порадует вас изумительным вкусом, в котором благородные ноты черного чая гармонично сочетаются с освежающими оттенками мяты и приятной сладостью арбуза. Поймайте настроение лета! Рекомендуется охладить перед употреблением. Родиной холодного чая является США. Самое раннее упоминание о рецепте этого прохладительного напитка было обнаружено в поваренной книге 19 века. Спустя почти 100 лет в продаже появился порошок Lipton для приготовления Ice Tea, и только в 1991 году на прилавки впервые был выставлен бутилированный холодный чай.|ПепсиКо Холдингс|Lipton|Россия||1.5 л|Вода, сахар, экстракт черного чая, ароматизаторы, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), антиокислитель аскорбиновая кислота, подсластитель экстракт стевии||19.0|||4.5 г|365 дней|139,9₽/шт|https://media.vprok.ru/products/x700/bw/yb/t5mlyfwledsf44m6yrmpijegadrrybbw.jpeg|https://www.vprok.ru/product/lipton-lipt-chay-hol-cher-arbmyata-1-5l--1042961
29|Эскалоп свиной охлажденный Мираторг 400г|Эскалоп свиной Мираторг 400г - это постный карбонад с тонким слоем жира по краю, нарезанный на ровные пласты одинакового размера. Лучше всего эскалоп подходит для жарки на сковороде или на открытом огне (гриль или барбекю). Перед приготовлением каждый кусочек необходимо отбить, посолить и приправить специями. Панировкой такое мясо не покрывается. Не содержит ГМО. Продукт упакован с использованием защитной атмосферы, что позволяет сохранить все питательные и вкусовые качества в течение всего срока годности.|Брянский МК|Мираторг|Россия|0.4 кг||Карбонад свиной||200.0|17 г|15 г|0 г|13 дней|269₽/шт|https://media.vprok.ru/products/x700/qo/px/uvllbqbk4nsmxxuz73ufbomb5bbspxqo.jpeg|https://www.vprok.ru/product/miratorg-mirat-eskalop-svin-ohl-gzms400g--392707
30|Осетр EcoFood копченый в масле 220г||Эко Фуд|EcoFood|Армения|0.22 кг||Осетр копченый (168г), растительное масло, соль||295.0|18 г|21 г||630 дней|599,9₽/шт|https://media.vprok.ru/products/x700/x7/yw/wvm5bhkusnbqn5uedhqrfl3yarviywx7.jpeg|https://www.vprok.ru/product/ecofood-ecof-osetr-kop-vm-220g--963121
31|"Завиток луковый"" 3шт *115г"|||||||||||||180 дней|280₽/шт|https://media.vprok.ru/products/x700/3t/j3/3thf3xa373vwwveist77cyomyxujj33t.jpeg|https://www.vprok.ru/product/izdeliya-hlebobulochnoe-sdobnoe-zavitok-lukovyy-3-sht-115-g--1237008
32|Курица Фабрика кулинарии запеченная по-американски 500г||ООО Фабрика кулинарии|Фабрика кулинарии|Россия|0.5 кг||филе бедра цыпленка, масло подсолнечное рафинированное дезодорированное, горчица (вода питьевая, семена горчицы, спиртовой уксус, соль пищевая), чеснок, уксус столовый, соль пищевая, паприка, перец красный острый, тимьян сушеный, лавровый лист, корица молотая||270.0|18.8 г|21.4 г|1.5 г|180 дней|670₽/шт|https://media.vprok.ru/products/x700/uy/iz/6wklvne4riihvaxogvzvbe54r3n7izuy.jpeg|https://www.vprok.ru/product/fabrika-kulinarii-kuritsa-zapechennaya-po-amerikanski1sht500-gr-paket-200h300-zamorojennoe-blyudo--1218500
33|Кальмар Borealis Командорский тушка без кожи замороженная 500г||Норебо Ру|Borealis|Россия|0.5 кг||Кальмар||98.0|18 г|2 г|2 г|300 дней||https://media.vprok.ru/products/x700/46/xf/eblkxkccazj6zito3pto4i4kbb6qxf46.jpeg|https://www.vprok.ru/product/borealis-bor-kalm-koman-tushka-zam-500g--1042959
34|Напиток Adrenaline Rush энергетический 449мл|Напиток Adrenaline Rush энергетический 449мл – это безалкогольный газированный напиток, который подарит вам мощный заряд бодрости в любое время суток. В его состав входит комплекс активных натуральных ингредиентов: таурин улучшает энергетические и обменные процессы в организме, L-карнитин повышает психическую и физическую выносливость, кофеин стимулирует умственную деятельность, корень женьшеня устраняет симптомы усталости, гуарана восстанавливает силы и активизирует внутренние ресурсы. Напиток обладает приятным сладковатым вкусом. Не содержит искусственных ароматизаторов и красителей. Компактную, стильно оформленную железную баночку удобно брать с собой на работу или на учебу. Внимание: придерживайтесь рекомендованной нормы потребления.|ПепсиКо Холдингс|Adrenaline|Россия||0.449 л|Вода, сахар, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный, орто-фосфат калия 1-замещенный), таурин, L-карнитин, ароматизаторы, стабилизаторы (гуммиарабик, эфиры глицерина и смоляных кислот), кофеин, инозит, экстракт семян гуараны, витамины (С, В6, В12), экстракт корня женьшеня, краситель каротины||52.0|0.5 г||12.2 г|365 дней|103₽/шт|https://media.vprok.ru/products/x700/ld/g7/zfe6gkcbmibxgpkg4dicanisui4ng7ld.jpeg|https://www.vprok.ru/product/adrenaline-adr-rush-nap-ton-ba-gaz-0-449l--678728
35|Узвар Великая Русь из Груши-дички 1л||ТПК Южный продукт|Великая Русь|Россия||1 л|Настой сушеных плодов груши-дички, сахар, регулятор кислотности – лимонная кислота, подсластитель “Мульти-микс 200” (цикламат Е952, сахарин натрия Е954)||28.0|||7 г|365 дней|59,99₽/шт|https://media.vprok.ru/products/x700/ct/w3/rdrx7czfstam4spiua47vtlsq6lhw3ct.jpeg|https://www.vprok.ru/product/velikaya-rus-vel-rus-uzvar-grushi-dichki-1l--996746
36|Сельдь Балтийский Берег специального посола 650г|Сельдь Балтийский Берег специального посола 650г – традиционная русская закуска, незаменимая основа салата «Селедка под шубой» и просто вкусный продукт. Это тихоокеанская сельдь специального посола, произведенная в России. Обладает характерным, умеренно соленым вкусом и упругой текстурой. В упаковке 2 цельных рыбки, готовых к употреблению. Порежьте их на кусочки и подайте вместе с молодым картофелем, отваренным в «мундире» и посыпанным свежей зеленью. Вакуумная упаковка надежно сохраняет свежесть, вкусовые и питательные свойства в течение всего срока годности. Продукция ТМ «Балтийский берег» отвечает самым высоким требованиям, предъявляемым к уровню качества.|Балтийский Берег||Россия|0.65 кг||Рыба, вода питьевая, соль, сахар, консерванты: Е211, Е202||122.0|16 г|6 г|1 г|120 дней|160₽/шт|https://media.vprok.ru/products/x700/7j/xu/k6cwhpkbcqyacedvvz5kpyoknqa3xu7j.jpeg|https://www.vprok.ru/product/baltiyskiy-bereg-balt-ber-seld-jirnaya-spets-pos-2sht-650g--308082
37|Кофе в зернах Julius Meinl Prasident Classic Collection 1кг||Julius Meinl|Julius Meinl|Италия|1 кг||Арабика, робуста||||||540 дней|2 059₽/шт|https://media.vprok.ru/products/x700/j6/22/4f74hzo6uifnjwderwod3bkj7ofv22j6.jpeg|https://www.vprok.ru/product/julius-meinl-j-meinl-kof-pr-kl-kol-nat-jar-zer-1000g--1016460
